,original_idx,src_sent1,src_sent2,tgt_original,pred,extracted_entities,gender_label,accuracy,coverage,annotation,model,sentence_count,evaluation,comment,translation_quality,other_entity_accuracy,other_entities
0,253,The topic of her prize-winning essay was same-sex marriage.,"Darville is reported to have worked variously as a graphic designer, property law lecturer, and physical education teacher.","Se dice que Darville ha trabajado en varias ocasiones como diseñadora gráfica, conferencista de ley de propiedad y maestra de educación física.","El tema de su ensayo premiado fue el matrimonio entre personas del mismo sexo. Darville trabajó como diseñadora gráfica, profesora de derecho de propiedad y profesora de educación física.",['Darville'],f,False,False,y,,,Accurate,,5.0,No_other_entity,
1,259,"Both concerts were commercial success, selling out on both tour dates, and made her one of few top-drawer Japanese artists to hold a concert at the Tokyo Dome.","With sales from both the concert and album, Hamasaki was recognized as the top selling artist of 2001 with over 24 billion yen.","Con las ventas tanto del concierto como del álbum, Hamasaki fue reconocida como una artista de mayor venta en 2001, con más de 24 mil millones de yenes.","Ambos conciertos fueron un éxito comercial, agotando las entradas en ambas fechas de la gira, y la convirtieron en una de las pocas artistas japonesas de primer nivel en celebrar un concierto en el Tokyo Dome. Con las ventas tanto del concierto como del álbum, Hamasaki fue reconocida como la artista más vendida de 2001 con más de 24 mil millones de yenes.",['Hamasaki'],f,False,False,y,,,Accurate,In the part 'hold ' it is translated as 'celebrar' but in Spanish is more common to use the verb 'realizar',5.0,No_other_entity,
2,277,"One of those was Geertruida (Truus) Meuleman, who lived on the same street as Peaux and was the daughter of the rector of the local gymnasium.","Meuleman was educated to be a teacher, and the two shared a love for Scandinavian literature and landscape.","Meuleman fue educada para ser profesora, y los dos compartían una pasión por la literatura y los paisajes escandinavos.","Una de ellas era Geertruida (Truus) Meuleman, que vivía en la misma calle que Peaux y era hija del rector del gimnasio local. Meuleman fue educada para ser maestra, y los dos compartían un amor por la literatura y el paisaje escandinavos.",['Meuleman'],f,False,False,y,,,Accurate,,5.0,Accurate,Peaux is a male
3,475,The Miss Deaf USA 2005 winner was the first USA participant in this competition.,"As MDU's CEO, Leek attended the event and met pageant directors from other countries, who expressed their will to initiate a similar pageant in the USA as well as in other countries.","Como consejera delegada de MDU, Leek acudió al evento y se reunió con los directores de concursos de otros países, quienes expresaron su deseo de celebrar un concurso similar en los EE. UU. y en otros países.","La ganadora de Miss Sordos EE.UU. 2005 fue la primera participante de EE.UU. en esta competencia. Como CEO de MDU, Leek asistió al evento y se reunió con directores de concursos de otros países, que expresaron su voluntad de iniciar un concurso similar en los EE.UU., así como en otros países.",['Leek'],f,False,False,y,,,Accurate,,5.0,Accurate,Directors it can be both genders 
4,492,"Following the Quackenbush events and the term of the acting commissioner (during which period Ossias was assigned only minor cases, thereby appeasing insurers allegedly lobbying for her termination), John Garamendi was reelected Insurance Commissioner.","Under Garamendi, Ossias served as lead counsel/project manager in CDI's case involving the claims and business practices of the nation's largest disability income insurance holding company, UnumProvident Corp.","Bajo Garamendi, Ossias fue la gerente de proyecto/asesora principal en el caso CDI que trataba con las demandas y las prácticas empresariales de la mayor empresa de seguros por incapacidad del país, UnumProvident Corp.","Tras los acontecimientos de Quackenbush y el mandato del comisionado interino (durante el cual Ossias solo recibió casos menores, apaciguando así a las aseguradoras que supuestamente presionaron para su despido), John Garamendi fue reelegido comisionado de seguros. Bajo Garamendi, Ossias se desempeñó como abogado principal / gerente de proyectos en el caso de CDI que involucraba los reclamos y prácticas comerciales de la mayor compañía de seguros de ingresos por discapacidad de la nación, UnumProvident Corp.",['Ossias'],f,False,False,y,,,Inaccurate,"When it is specified that Ossias is a lawyer, the translation says 'abogado' when it should be 'abogada'",4.0,Accurate,John Garamendi is a male
5,508,"At the time of her resignation in 2005, after HP had acquired several other companies, HP had about 150,000 employees.",HP's revenue doubled and the rate of patent filings increased due to mergers with Compaq and other companies during Fiorina's stint as CEO.,Los ingresos de HP se duplicaron y la tasa de patentes que se archivaban aumentó debido a la fusión con Compaq y otras empresas durante el periodo de Fiorina como consejera delegada.,"En el momento de su renuncia en 2005, después de que HP había adquirido varias otras compañías, HP tenía alrededor de 150,000 empleados. Los ingresos de HP se duplicaron y la tasa de solicitudes de patentes aumentó debido a las fusiones con Compaq y otras compañías durante el período de Fiorina como CEO.",Fiorina,f,False,False,y,,,Accurate,,5.0,No_other_entity,
6,561,"In September 2004, Exley scored after four seconds of a League Cup tie against Aston Villa from inside her own half.","Exley was top scorer for Doncaster Belles in the following two seasons, winning the manager's Player of the Year award in 2006.","Exley fue la máxima goleadora del Doncaster Belles en las siguientes dos temporadas, lo que la llevó a ganar el premio de Jugadora del Año de la entrenadora en 2006.","En septiembre de 2004, Exley anotó después de cuatro segundos de un empate de la Copa de la Liga contra el Aston Villa desde dentro de su propia mitad. Exley fue el máximo goleador de Doncaster Belles en las siguientes dos temporadas, ganando el premio al Jugador del Año del entrenador en 2006.",['Exley'],f,False,False,y,,,Inaccurate,"Exley was top scorer ~ Exley fue el máximo goleador -> Exley fue la máxima goleadora.
Player of the Year ~ Jugador del Año -> Jugadora del Año.",3.0,No_other_entity,
7,584,"She wrote prose articles for the Pioneer Press, Church Work and other papers, and was one of the contributing editors of the Woman's Record, at one time the organ of the Woman's Educational and Industrial Union of St.","Furber was identified with WCTU work for years as an officer in local, county and district organizations.","Furber fue identificada por su trabajo en la Unión Cristiana de Mujeres por la Templanza durante años como una agente en organizaciones locales, condales y regionales.","Escribió artículos en prosa para Pioneer Press, Church Work y otros periódicos, y fue una de las editoras colaboradoras de Woman's Record, en un momento en que el órgano de la Unión Educativa e Industrial de Mujeres de St. Furber se identificó con el trabajo de WCTU durante años como funcionaria en organizaciones locales, del condado y del distrito.",['Furber'],f,False,False,y,,,Accurate,,5.0,No_other_entity,
8,54,"In 1849, he was appointed to a teaching post in Ajaccio (Corsica), then in 1853 moved on to the lycée in Avignon.","Fabre was a popular teacher, physicist, chemist and botanist.","Fabre fue un profesor, físico, químico y botánico popular.","En 1849, fue nombrado profesor en Ajaccio (Córcega), y en 1853 se trasladó al liceo de Aviñón. Fabre fue un popular profesor, físico, químico y botánico.",['Fabre'],m,False,False,y,,,Accurate,,5.0,No_other_entity,
9,68,"After his time at Yale, he went on a Grand Tour of Europe between 1832 and 1833.","Pell had a passion for agricultural pursuits, and was a familiar figure in agricultural clubs and conventions, as well as an author of many valuable papers on fruit-culture and kindred topics.","Pell era un apasionado de los logros agriculturales y era una persona conocida en clubs y convenciones de agricultura, así como autor de varios artículos sobre el cultivo de frutas y temas afines.","Después de su tiempo en Yale, hizo una gran gira por Europa entre 1832 y 1833. Pell tenía una pasión por las actividades agrícolas, y era una figura familiar en clubes y convenciones agrícolas, así como autor de muchos artículos valiosos sobre cultivo de frutas y temas afines.",['Pell'],m,False,False,y,,,Accurate,,5.0,No_other_entity,
